City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
600,Marabba,SD,79.48,broken clouds,12.35,32.1833,
604,Lokoja,NG,78.98,broken clouds,7.8024,6.743,Hotel Charvid
605,Ngunguru,NZ,76.15,overcast clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
609,Saint-Leu,RE,77.86,overcast clouds,-21.15,55.2833,La Caz Oceane
610,Ejura,GH,74.64,broken clouds,7.3856,-1.3562,Fire Servece
613,Finschhafen,PG,85.24,overcast clouds,-6.6024,147.8681,Cossam Guest House
615,Trinidad,BO,74.35,overcast clouds,-14.8333,-64.9,Hotel Piesta
616,Abu Zabad,SD,74.93,scattered clouds,12.35,29.25,حامد محمد نور
620,Tabuk,PH,77.14,scattered clouds,17.4189,121.4443,Golden Berries Hotel and Convention
622,Honiara,SB,88.52,broken clouds,-9.4333,159.95,Heritage Park Hotel
628,Ternate,ID,83.68,scattered clouds,0.8,127.4,Sahid Bela Ternate Hotel
630,Sibolga,ID,81.27,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
631,Itarema,BR,78.24,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
632,Alagoa Grande,BR,73.27,clear sky,-7.1583,-35.63,Pousada do 15
633,Cotonou,BJ,79.93,broken clouds,6.3654,2.4183,Novotel Cotonou Orisha
642,Tual,ID,83.05,broken clouds,-5.6667,132.75,Grand Vilia Hotel
646,Wattegama,LK,74.32,overcast clouds,6.7989,81.4808,
649,Road Town,VG,75.29,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
653,Celestun,MX,75.58,few clouds,20.8667,-90.4,Posada Lilia
659,Dois Riachos,BR,75.04,overcast clouds,-9.3925,-37.1006,Pasion
660,Lafiagi,NG,74.8,few clouds,8.8667,5.4167,Bus group international
663,Sao Gabriel Da Cachoeira,BR,71.78,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
