City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
158,Katsuura,JP,35.1333,140.3,61.05,55,0,10.6,clear sky
159,Vaini,TO,-21.2,-175.2,80.76,94,75,3.44,broken clouds
160,Upernavik,GL,72.7868,-56.1549,4.86,96,100,3.78,overcast clouds
161,Margate,GB,51.3813,1.3862,40.69,73,100,1.99,overcast clouds
162,Gizo,SB,-8.103,156.8419,83.41,77,96,12.91,light rain
163,Borovskoy,KZ,53.8,64.15,38.41,60,11,13.2,few clouds
164,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,39.79,52,40,2.24,scattered clouds
165,Taoudenni,ML,22.6783,-3.9836,76.23,9,0,10.33,clear sky
166,Boyolangu,ID,-8.1181,111.8935,83.61,71,96,8.01,overcast clouds
167,Ahuimanu,US,21.4447,-157.8378,74.91,68,0,14.97,clear sky
168,Baykit,RU,61.67,96.37,27.59,72,97,7.96,overcast clouds
169,Tuatapere,NZ,-46.1333,167.6833,55.53,67,50,14.2,scattered clouds
170,Sabha,LY,27.0377,14.4283,60.75,52,63,19.17,broken clouds
171,Porto San Giorgio,IT,43.1827,13.7934,55.99,71,29,4.45,scattered clouds
172,Sao Filipe,CV,14.8961,-24.4956,72.0,76,6,10.16,clear sky
173,Kaitangata,NZ,-46.2817,169.8464,55.38,59,29,15.77,scattered clouds
174,Huaibei,CN,33.9744,116.7917,80.92,39,0,14.94,clear sky
175,Dhali,IN,10.5,77.1667,89.04,48,94,6.17,overcast clouds
176,Wagga Wagga,AU,-35.1167,147.3667,66.61,77,100,8.05,light rain
177,Zeya,RU,53.75,127.2667,36.09,44,100,3.96,overcast clouds
178,Arraial Do Cabo,BR,-22.9661,-42.0278,73.98,82,43,3.15,scattered clouds
179,Crotone,IT,39.0851,17.1178,59.2,64,0,5.93,clear sky
180,Luderitz,NA,-26.6481,15.1594,65.05,51,20,9.15,few clouds
181,Khatanga,RU,71.9667,102.5,16.36,88,100,8.93,overcast clouds
182,Nome,US,64.5011,-165.4064,-2.13,71,100,5.75,overcast clouds
183,Vrangel,RU,42.7297,133.0839,40.37,70,93,9.24,overcast clouds
184,Carutapera,BR,-1.195,-46.02,74.82,96,98,5.97,heavy intensity rain
185,Dongsheng,CN,39.8161,109.9776,71.78,9,3,18.28,clear sky
186,Acolla,PE,-11.7319,-75.5463,45.14,88,69,4.43,broken clouds
187,Diego De Almagro,CL,-26.3667,-70.05,64.49,30,0,1.72,clear sky
188,Mehamn,NO,71.0357,27.8492,28.31,81,13,15.59,few clouds
189,Paamiut,GL,61.994,-49.6678,20.66,88,68,15.12,broken clouds
190,Pisco,PE,-13.7,-76.2167,66.25,82,92,10.36,overcast clouds
191,Necochea,AR,-38.5473,-58.7368,58.05,83,99,9.13,light rain
192,Wasilla,US,61.5814,-149.4394,39.18,60,0,3.44,clear sky
193,Charters Towers,AU,-20.1,146.2667,92.5,29,9,10.11,clear sky
194,Chipinge,ZW,-20.1883,32.6236,63.19,91,80,5.14,broken clouds
195,Pachino,IT,36.7186,15.0907,55.22,75,0,18.5,clear sky
196,Bara,NG,10.3744,10.7288,78.03,60,55,6.33,broken clouds
197,Kapaa,US,22.0752,-159.319,80.58,79,40,19.57,scattered clouds
198,Saint-Philippe,RE,-21.3585,55.7679,81.21,81,55,12.24,broken clouds
199,The Valley,AI,18.217,-63.0578,78.66,73,5,19.17,clear sky
200,Kuching,MY,1.55,110.3333,87.22,70,40,10.36,scattered clouds
201,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.98,85,87,4.25,overcast clouds
202,Bourail,NC,-21.5667,165.4833,82.58,71,99,12.24,overcast clouds
203,Lufkin,US,31.3382,-94.7291,50.49,63,0,0.0,clear sky
204,Grindavik,IS,63.8424,-22.4338,28.87,69,100,6.91,overcast clouds
205,Hermanus,ZA,-34.4187,19.2345,54.81,81,0,13.29,clear sky
206,Saint George,US,37.1041,-113.5841,68.59,16,0,19.57,clear sky
207,Sisimiut,GL,66.9395,-53.6735,10.42,89,94,6.42,overcast clouds
208,Plymouth,US,41.8334,-70.8328,48.0,92,100,19.57,mist
209,Lompoc,US,34.6391,-120.4579,69.94,55,0,3.44,clear sky
210,San Cristobal,VE,7.7669,-72.225,71.78,84,91,1.21,overcast clouds
211,Tazovskiy,RU,67.4667,78.7,0.77,93,37,7.81,scattered clouds
212,Gao,ML,16.6362,1.637,83.43,8,1,9.84,clear sky
213,Marsh Harbour,BS,26.5412,-77.0636,77.9,84,98,16.55,overcast clouds
214,Hofn,IS,64.2539,-15.2082,29.46,51,100,9.06,overcast clouds
215,Roebourne,AU,-20.7833,117.1333,97.75,28,14,8.37,few clouds
216,Nioro,GM,13.35,-15.75,75.85,48,57,3.78,broken clouds
217,Usinsk,RU,65.9939,57.5281,8.67,88,81,9.86,broken clouds
218,Kabompo,ZM,-13.5927,24.2008,64.17,98,100,3.91,overcast clouds
219,Bonthe,SL,7.5264,-12.505,77.43,89,97,4.03,overcast clouds
220,Mongoumba,CF,3.6415,18.5936,69.13,95,45,4.47,light rain
221,Roma,US,43.2128,-75.4557,44.74,96,100,4.61,light rain
222,Tiarei,PF,-17.5333,-149.3333,82.42,78,21,17.2,light rain
223,Neuquen,AR,-38.9516,-68.0591,58.89,88,0,3.44,clear sky
224,Turukhansk,RU,65.8167,87.9833,20.43,86,100,6.15,overcast clouds
225,Kavieng,PG,-2.5744,150.7967,78.37,88,100,8.14,moderate rain
226,Tsiroanomandidy,MG,-18.7667,46.0333,71.33,79,1,3.42,clear sky
227,Puerto Ayacucho,VE,5.6639,-67.6236,76.5,85,45,4.5,scattered clouds
228,Zhumadian,CN,32.9794,114.0294,81.23,40,0,17.13,clear sky
229,Esperance,AU,-33.8667,121.9,87.64,33,43,15.28,scattered clouds
230,Tres Lagoas,BR,-20.7511,-51.6783,71.38,90,88,5.14,heavy intensity rain
231,Maniitsoq,GL,65.4167,-52.9,16.75,91,78,4.97,broken clouds
232,Shakawe,BW,-18.3667,21.85,68.31,45,16,3.0,few clouds
233,Thaba-Tseka,LS,-29.522,28.6084,41.09,91,81,2.66,broken clouds
234,Geraldton,AU,-28.7667,114.6,73.81,73,100,19.57,overcast clouds
235,Havoysund,NO,70.9963,24.6622,30.43,78,63,17.38,broken clouds
236,Bogorodskoye,RU,56.55,37.8833,40.77,88,100,13.13,overcast clouds
237,Chapais,CA,49.7834,-74.8492,31.78,98,100,10.98,light snow
238,Hervey Bay,AU,-25.2986,152.8535,80.02,69,24,10.0,light rain
239,Port Alfred,ZA,-33.5906,26.891,55.18,94,81,1.01,broken clouds
240,Vanimo,PG,-2.6741,141.3028,83.21,78,98,9.48,overcast clouds
241,Kosh-Agach,RU,50.0,88.6667,47.64,49,97,1.68,overcast clouds
242,Southbridge,US,42.0751,-72.0334,47.46,97,100,4.0,moderate rain
243,Andilamena,MG,-17.0167,48.5833,67.12,94,90,4.05,overcast clouds
244,Lubumbashi,CD,-11.6609,27.4794,61.9,98,100,4.65,light rain
245,Plaeng Yao,TH,13.5847,101.284,93.85,54,100,13.35,overcast clouds
246,Kieta,PG,-6.2167,155.6333,82.2,78,99,6.49,light rain
247,Gigmoto,PH,13.7796,124.39,77.22,89,100,5.41,moderate rain
248,Gat,IL,31.61,34.7642,74.08,50,100,8.97,overcast clouds
249,Araouane,ML,18.9048,-3.5265,78.35,14,26,13.11,scattered clouds
250,Marzuq,YE,14.4,46.4667,76.17,18,96,0.92,overcast clouds
251,Fortuna,US,40.5982,-124.1573,52.66,93,100,0.0,overcast clouds
252,Pangai,TO,-19.8,-174.35,82.51,74,75,11.5,broken clouds
253,Kavaratti,IN,10.5669,72.642,83.07,74,84,5.82,broken clouds
254,Codrington,AU,-38.2667,141.9667,71.1,56,0,13.11,clear sky
255,Glendive,US,47.1053,-104.7125,32.49,67,0,8.05,clear sky
256,Tiksi,RU,71.6872,128.8694,1.71,94,48,3.67,scattered clouds
257,Biak,ID,-0.9131,122.8766,84.33,64,88,2.86,overcast clouds
258,Manado,ID,1.487,124.8455,93.97,49,20,11.5,few clouds
259,Tsumeb,NA,-19.2333,17.7167,65.97,50,3,5.82,clear sky
260,Yoichi,JP,43.2039,140.7703,42.78,52,49,16.64,scattered clouds
261,La Quinta,US,33.6634,-116.31,86.05,11,0,9.22,clear sky
